50 275
6 -18 19
-42 32 -12
-25 -13 39
39 -40 -3
-30 9 -33
50 -41 15
-17 31 40
-10 -50 -3
-46 -5 47
-19 11 24
44 34 4
14 18 28
6 20 22
39 -9 -31
46 47 -8
-18 -47 50
-22 -15 -8
9 -5 32
48 9 1
-16 -4 31
-35 -47 -50
12 -26 42
-3 37 -9
-43 22 46
-10 26 -12
-1 41 -26
-23 42 -32
45 49 4
-34 16 -3
-3 13 22
-8 6 -38
5 30 -19
6 26 -13
-45 48 -10
-7 43 33
-8 13 42
-34 39 -14
46 -20 -43
-26 29 -25
-48 40 -21
-38 47 31
5 -9 44
-50 -45 -9
-21 -39 -4
-38 13 -49
11 -31 -34
4 -1 3
-23 -22 50
9 15 -22
-23 1 16
-39 42 -1
-13 -34 41
31 -7 44
-45 -8 -18
2 -6 38
26 -39 -28
-9 -13 -39
-31 38 -9
47 -17 4
31 -9 -49
33 3 34
15 -11 -7
-41 2 22
42 -2 5
-43 -2 45
20 45 26
4 -6 -7
-48 36 1
-23 -17 -20
36 -45 -19
23 -27 44
-17 -25 27
-7 -40 44
-28 -49 -15
39 -50 24
-40 -29 46
38 13 27
-47 23 -45
20 49 38
-5 -7 11
20 -37 46
48 7 -1
-16 36 42
-42 17 40
43 -21 -49
21 -41 -34
25 10 -44
8 36 -45
-25 -29 -5
15 -34 -46
-33 -35 -20
17 28 30
-20 46 -9
34 30 36
48 21 -36
-10 -36 -37
-28 44 -6
31 -6 -26
26 -31 -41
-24 16 4
11 1 6
-22 34 -47
46 -36 -3
-25 2 37
9 31 -41
6 20 31
-41 -20 -46
1 -32 -29
23 14 18
26 49 -46
-24 -14 -42
-30 12 -27
-17 12 1
10 35 -24
-29 21 -5
-7 4 14
-2 -21 32
11 18 46
-26 22 -43
49 26 11
-12 -33 29
1 50 7
-45 -26 -18
-28 -23 -4
-47 25 -9
24 -47 11
26 -21 37
-43 -30 -1
-33 26 -22
-43 -15 -4
-2 -42 -48
7 -41 -36
3 -15 -10
-15 45 47
36 40 25
34 48 -28
36 14 37
-6 12 -43
-39 -30 -31
2 43 4
12 -40 -14
44 20 -24
36 6 2
5 -11 -2
-50 -18 -34
-22 -12 28
22 -11 -40
45 19 -27
37 6 -43
10 2 -7
-38 39 -7
15 41 -29
50 34 -7
41 -47 -46
50 5 22
34 42 -27
-32 16 -25
25 38 -34
-34 -2 -50
6 -28 26
10 27 47
-46 2 -18
-26 -40 20
15 -8 25
36 -33 19
-47 49 -4
-3 7 -44
32 -30 -45
-27 -30 -48
34 -32 40
-11 14 -30
-46 -50 36
-16 -13 6
27 -16 22
46 -3 -36
11 -13 -44
26 38 41
26 -25 -42
-27 39 1
39 -15 -13
-18 6 -3
-25 13 -11
49 -16 -47
37 27 42
-45 38 -43
-12 46 37
-31 25 15
45 30 -9
-17 -34 -28
-36 39 -30
-40 21 -16
-24 -45 26
31 -23 1
-35 22 -4
35 8 16
-29 -28 -32
45 34 29
1 3 -16
10 30 -4
14 37 17
47 20 41
-8 37 20
23 -28 11
15 5 -13
23 19 42
42 -13 26
-20 10 -9
7 -15 -13
-10 -32 -26
47 39 -37
40 9 -50
24 45 -50
24 -15 39
-31 -6 10
33 14 -15
37 -36 12
28 49 31
-22 42 43
-46 -37 -33
25 48 4
-45 -13 8
-18 24 19
-25 19 13
4 30 27
34 29 -27
34 -1 44
28 37 13
-44 24 -18
11 18 -46
-3 -10 41
5 -9 -47
23 -29 6
-26 -8 -44
33 10 -41
5 -40 24
-43 24 34
20 -3 44
-25 30 -50
6 4 29
-28 23 4
2 16 -40
-39 30 -17
2 -6 -30
3 -25 35
-22 20 1
-11 48 18
46 17 20
-40 -17 -47
12 -32 -18
-18 8 -10
6 37 -9
4 1 -32
-31 -30 -7
3 -9 -44
14 -10 -22
-38 -10 35
-21 48 -30
-6 -27 -50
-22 -42 6
49 37 -26
16 48 -8
31 13 -34
43 -13 38
35 4 -14
-38 -3 -47
-46 -22 40
-5 20 41
-1 -46 24
-40 9 14
21 -41 -40
16 41 -7
35 24 -44
13 -48 11
36 -43 14
18 -46 -8
